"videoId","categoryId","category","duration","viewCount","commentCount","channelId"
"Mb1ZvUDvLDY","10","Music","PT4M41S","85740205","53901","UCYU-Sl3T18bfITPTssZra9g"
"W-ctaYR2nfg","10","Music","PT4M55S","310724","74","UCYU-Sl3T18bfITPTssZra9g"
"e1dOk8KWgVc","10","Music","PT5M46S","229974","64","UCYU-Sl3T18bfITPTssZra9g"
"l0tAS2NLjLA","10","Music","PT4M40S","177191","65","UCYU-Sl3T18bfITPTssZra9g"
"58Yf3BfMy80","10","Music","PT4M13S","191353","17","UCYU-Sl3T18bfITPTssZra9g"
"YZgtAa9f7a4","10","Music","PT4M8S","370400","114","UCYU-Sl3T18bfITPTssZra9g"
"Fv1J9ExeUPg","10","Music","PT4M33S","206994","36","UCYU-Sl3T18bfITPTssZra9g"
"dnNPLy03j2k","26","Howto & Style","PT3M25S","133279","221","UC9PgszLOAWhQC6orYejcJlw"
"asR1G2i6xlg","26","Howto & Style","PT2M26S","94796","137","UC9PgszLOAWhQC6orYejcJlw"
"33tqg067E5E","26","Howto & Style","PT2M23S","82237","141","UC9PgszLOAWhQC6orYejcJlw"
"gmvPz-BhrpE","26","Howto & Style","PT3M3S","76492","142","UC9PgszLOAWhQC6orYejcJlw"
"MxNEryBDEq4","26","Howto & Style","PT1M48S","46639","238","UC9PgszLOAWhQC6orYejcJlw"
"4SW1u9bOZuo","26","Howto & Style","PT2M33S","68669","134","UC9PgszLOAWhQC6orYejcJlw"
"KkALuO6C0oc","26","Howto & Style","PT3M34S","61176","108","UC9PgszLOAWhQC6orYejcJlw"
"sJgq5RjcyOE","26","Howto & Style","PT2M54S","25800","65","UC9PgszLOAWhQC6orYejcJlw"
"cz0zBjikNVs","26","Howto & Style","PT3M18S","41664","117","UC9PgszLOAWhQC6orYejcJlw"
"xollJZV4ieI","26","Howto & Style","PT3M15S","24315","63","UC9PgszLOAWhQC6orYejcJlw"
"FboSaDco1vc","26","Howto & Style","PT3M32S","31760","99","UC9PgszLOAWhQC6orYejcJlw"
"z0DH-irlRP8","26","Howto & Style","PT4M8S","35676","111","UC9PgszLOAWhQC6orYejcJlw"
"Hc3BvFbturA","26","Howto & Style","PT3M32S","73479","122","UC9PgszLOAWhQC6orYejcJlw"
"ZVvnrCT1lTA","26","Howto & Style","PT3M2S","54326","147","UC9PgszLOAWhQC6orYejcJlw"
"GFbliQhpVIE","26","Howto & Style","PT2M5S","44615","101","UC9PgszLOAWhQC6orYejcJlw"
"Z-DhRPjntcs","26","Howto & Style","PT2M27S","55283","182","UC9PgszLOAWhQC6orYejcJlw"
"YBJGutbU5jg","26","Howto & Style","PT1M14S","215483","189","UC9PgszLOAWhQC6orYejcJlw"
"bLK8xVEAIuA","26","Howto & Style","PT3M52S","128543","359","UC9PgszLOAWhQC6orYejcJlw"
"-BKXDNWK3D8","26","Howto & Style","PT2M39S","42144","107","UC9PgszLOAWhQC6orYejcJlw"
"DyipGHhR2Sg","26","Howto & Style","PT3M","41509","147","UC9PgszLOAWhQC6orYejcJlw"
"rX5ppiCrNII","26","Howto & Style","PT3M25S","27035","71","UC9PgszLOAWhQC6orYejcJlw"
"xsPhSKZoe1I","26","Howto & Style","PT4M8S","31886","92","UC9PgszLOAWhQC6orYejcJlw"
"DHMm92lF2qA","26","Howto & Style","PT3M51S","34721","78","UC9PgszLOAWhQC6orYejcJlw"
"0JtBUnHrTe4","26","Howto & Style","PT3M43S","42326","235","UC9PgszLOAWhQC6orYejcJlw"
"pMuhJQZvVy8","26","Howto & Style","PT5M3S","53029","222","UC9PgszLOAWhQC6orYejcJlw"
"ecWsHROJJbs","26","Howto & Style","PT5M12S","16567","82","UC9PgszLOAWhQC6orYejcJlw"
"dkXFsA9NCjo","26","Howto & Style","PT3M58S","14844","96","UC9PgszLOAWhQC6orYejcJlw"
"11utYwl2FP0","26","Howto & Style","PT4M4S","12850","84","UC9PgszLOAWhQC6orYejcJlw"
"5Ysiu7L2Wqc","26","Howto & Style","PT5M16S","62759","127","UC9PgszLOAWhQC6orYejcJlw"
"Xp87NV5eRq0","26","Howto & Style","PT6M1S","79095","247","UC9PgszLOAWhQC6orYejcJlw"
"eqc0mRujcso","26","Howto & Style","PT4M19S","12444","74","UC9PgszLOAWhQC6orYejcJlw"
"IPTNeQdFl78","26","Howto & Style","PT5M11S","20334","85","UC9PgszLOAWhQC6orYejcJlw"
"HVwv0-RDGDM","26","Howto & Style","PT4M41S","15722","76","UC9PgszLOAWhQC6orYejcJlw"
"gTlR3bCKp-g","26","Howto & Style","PT4M40S","86818","203","UC9PgszLOAWhQC6orYejcJlw"
"L53l3l5OEM8","26","Howto & Style","PT5M25S","21623","145","UC9PgszLOAWhQC6orYejcJlw"
"Y0vAOGORMnY","26","Howto & Style","PT6M15S","15807","104","UC9PgszLOAWhQC6orYejcJlw"
"nMmFvcoVCbU","26","Howto & Style","PT4M43S","24145","75","UC9PgszLOAWhQC6orYejcJlw"
"7X5NFJ8-Gas","26","Howto & Style","PT4M31S","166261","471","UC9PgszLOAWhQC6orYejcJlw"
"kfe6tfcdWs0","26","Howto & Style","PT4M49S","28200","175","UC9PgszLOAWhQC6orYejcJlw"
"k4p6Y-eoEiQ","26","Howto & Style","PT6M35S","11320","82","UC9PgszLOAWhQC6orYejcJlw"
"S-RZ7D-HS4g","26","Howto & Style","PT4M50S","34875","183","UC9PgszLOAWhQC6orYejcJlw"
"1j8QDwLZmAQ","26","Howto & Style","PT3M38S","19864","147","UC9PgszLOAWhQC6orYejcJlw"
"gE33l4O-E1w","26","Howto & Style","PT4M8S","26537","100","UC9PgszLOAWhQC6orYejcJlw"
"SAigSXtRwYs","26","Howto & Style","PT5M35S","50159","236","UC9PgszLOAWhQC6orYejcJlw"
"1hDMHUSkJTw","26","Howto & Style","PT5M1S","11467","57","UC9PgszLOAWhQC6orYejcJlw"
"9PZpMtALfK4","26","Howto & Style","PT7M48S","13580","127","UC9PgszLOAWhQC6orYejcJlw"
"T8KxGs5RwWU","26","Howto & Style","PT5M57S","27583","174","UC9PgszLOAWhQC6orYejcJlw"
"wLnmhz8oZxw","26","Howto & Style","PT4M40S","6194","45","UC9PgszLOAWhQC6orYejcJlw"
"Ey-0Q6VNJaY","26","Howto & Style","PT3M34S","170339","491","UC9PgszLOAWhQC6orYejcJlw"
"QN9_dPVh34g","26","Howto & Style","PT6M58S","86862","195","UC9PgszLOAWhQC6orYejcJlw"
"zgVz76fl7RY","26","Howto & Style","PT4M58S","8914","33","UC9PgszLOAWhQC6orYejcJlw"
"68bICQxt6ZI","26","Howto & Style","PT4M59S","14601","132","UC9PgszLOAWhQC6orYejcJlw"
"TLXJeLK0tmI","26","Howto & Style","PT8M21S","10287","53","UC9PgszLOAWhQC6orYejcJlw"
"RFUIrShhU8I","26","Howto & Style","PT3M47S","14559","81","UC9PgszLOAWhQC6orYejcJlw"
"ejocINLEg-I","26","Howto & Style","PT4M36S","14974","81","UC9PgszLOAWhQC6orYejcJlw"
"PJ-Nw_146CA","26","Howto & Style","PT5M52S","57147","192","UC9PgszLOAWhQC6orYejcJlw"
"cNpSl9dUxoo","26","Howto & Style","PT5M30S","8174","69","UC9PgszLOAWhQC6orYejcJlw"
"xSp6aciDxVQ","26","Howto & Style","PT5M4S","11375","69","UC9PgszLOAWhQC6orYejcJlw"
"wUAuO6dv_K8","26","Howto & Style","PT3M49S","484181","494","UC9PgszLOAWhQC6orYejcJlw"
"8A3srExdlOQ","26","Howto & Style","PT6M20S","62228","247","UC9PgszLOAWhQC6orYejcJlw"
"dGNq7oN_IZ8","26","Howto & Style","PT4M13S","10210","57","UC9PgszLOAWhQC6orYejcJlw"
"PqRObuTAHms","26","Howto & Style","PT3M37S","16944","81","UC9PgszLOAWhQC6orYejcJlw"
"c5R6biNOOuc","26","Howto & Style","PT5M34S","9611","65","UC9PgszLOAWhQC6orYejcJlw"
"yxoMVR28aCg","26","Howto & Style","PT5M14S","79602","204","UC9PgszLOAWhQC6orYejcJlw"
"r7X-0FMW8NE","26","Howto & Style","PT4M19S","21984","117","UC9PgszLOAWhQC6orYejcJlw"
"3fG4lEge0Ms","26","Howto & Style","PT6M","10904","101","UC9PgszLOAWhQC6orYejcJlw"
"vx34ce8c1qk","26","Howto & Style","PT5M21S","10765","112","UC9PgszLOAWhQC6orYejcJlw"
"Jb80KuWTpwc","26","Howto & Style","PT4M36S","10710","52","UC9PgszLOAWhQC6orYejcJlw"
"u1gwNyo22EY","26","Howto & Style","PT5M13S","8326","83","UC9PgszLOAWhQC6orYejcJlw"
"RjAyKO140RQ","26","Howto & Style","PT5M11S","7200","74","UC9PgszLOAWhQC6orYejcJlw"
"2adeu3WRa5E","26","Howto & Style","PT4M31S","9243","71","UC9PgszLOAWhQC6orYejcJlw"
"RURJ95BAfwY","26","Howto & Style","PT3M44S","8435","59","UC9PgszLOAWhQC6orYejcJlw"
"1QJRWDcDxqk","26","Howto & Style","PT3M51S","14220","65","UC9PgszLOAWhQC6orYejcJlw"
"ntMB9jWhreQ","26","Howto & Style","PT4M40S","7800","57","UC9PgszLOAWhQC6orYejcJlw"
"Z9Qv_w_O50I","26","Howto & Style","PT6M1S","16325","85","UC9PgszLOAWhQC6orYejcJlw"
"MsSIoBv_J0A","26","Howto & Style","PT6M27S","114022","414","UC9PgszLOAWhQC6orYejcJlw"
"1YdgMFTsaM8","26","Howto & Style","PT4M42S","9515","64","UC9PgszLOAWhQC6orYejcJlw"
"yuEcwmm9wJY","26","Howto & Style","PT7M23S","50898","129","UC9PgszLOAWhQC6orYejcJlw"
"am6m8MiiVe0","26","Howto & Style","PT6M42S","65773","211","UC9PgszLOAWhQC6orYejcJlw"
"OiKxQ4C8zak","26","Howto & Style","PT5M51S","23455","180","UC9PgszLOAWhQC6orYejcJlw"
"UoP9b36P98Y","26","Howto & Style","PT4M46S","9948","61","UC9PgszLOAWhQC6orYejcJlw"
"jEdxycsP7Mk","26","Howto & Style","PT4M58S","10923","79","UC9PgszLOAWhQC6orYejcJlw"
"rBcB_ECm0wU","26","Howto & Style","PT5M44S","9695","70","UC9PgszLOAWhQC6orYejcJlw"
"a_uourkVk24","26","Howto & Style","PT4M57S","50952","215","UC9PgszLOAWhQC6orYejcJlw"
"DMgj5B7dMEk","26","Howto & Style","PT6M5S","11636","34","UC9PgszLOAWhQC6orYejcJlw"
"UFkgDs_nNF8","26","Howto & Style","PT5M34S","9614","66","UC9PgszLOAWhQC6orYejcJlw"
"UFRJABFzFuA","26","Howto & Style","PT5M46S","9254","77","UC9PgszLOAWhQC6orYejcJlw"
"yH_JhdQPIYo","26","Howto & Style","PT3M37S","13421","68","UC9PgszLOAWhQC6orYejcJlw"
"3sXVwJAikkY","26","Howto & Style","PT5M9S","70847","239","UC9PgszLOAWhQC6orYejcJlw"
"s3gfVgfVQRQ","26","Howto & Style","PT4M35S","10168","70","UC9PgszLOAWhQC6orYejcJlw"
"CmzwF2xW4XM","26","Howto & Style","PT4M43S","14850","153","UC9PgszLOAWhQC6orYejcJlw"
"CmSajE2J2LE","26","Howto & Style","PT6M54S","13372","74","UC9PgszLOAWhQC6orYejcJlw"
"ZdNZmQmD6Yo","26","Howto & Style","PT4M56S","9106","147","UC9PgszLOAWhQC6orYejcJlw"
"Rcf9qjb-6V8","26","Howto & Style","PT5M16S","33076","148","UC9PgszLOAWhQC6orYejcJlw"
"CmzwF2xW4XM","26","Howto & Style","PT4M43S","14850","153","UC9PgszLOAWhQC6orYejcJlw"
"CmSajE2J2LE","26","Howto & Style","PT6M54S","13372","74","UC9PgszLOAWhQC6orYejcJlw"
